business_id,name,address,city,state,stars,Food,Service,Ambience,Price,Miscellaneous,Avg.Criteria,Avg.Food,Avg.Service,Avg.Ambience,Avg.Price,Avg.Miscellaneous,Cuisine.Category,Avg.Food2,Avg.Service2,Avg.Ambience2,Avg.Price2,Avg.Miscellaneous2,positive.Word.Cloud,negative.Word.Cloud,Review.count,Suggestion1,Suggestion2
y-Jp4iSIMDJE4JzGBh7M-g,Noodlebox,"2821 Main Street, Suite 101",Airdrie,AB,4.5,3.409552997,2.17560814,3.644956404,5,3.243352885,Province,2.993668907,1.722168646,3.457551105,4.176629529,3.9617405,Asian Fusion,3.001603408,1.575305468,3.475673353,4.116206796,3.991034024,"kitchen staff,smile,staff staff,noodle,meal,spot,Spicy peanut,location,music,service,work,food,People,place,everything,daughter,bowl,lady,choice,place,lot,choices choice,service,place,meal,hip place,water,ambiance,do,size,guy,thank,place,spring roll,stir fry,food,vibe,level,spot,Soup,ingredient,water,extra,dispenser,bowl,brewery draft,craze,staff,improvement,difference,box,curry box,food,option,portion size,size,recommend,chicken box,box,thank","layout,experience,cashier,side,reason,lack,heck,window,look,lettuce wrap,feel,guy,break,burn,food craze,that,portion",13,You are doing well in all aspects. Keep going!,You are doing well in all aspects. Keep going!
l1DtLtgI2hlGNMBSkk5sXg,Shanghai Palace Restaurant,"5149 Country Hills Boulevard NW, Unit 520",Calgary,AB,3,3.328865799,2.30114397,3.209988912,4.373027057,5,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Traditional Chinese,2.847977021,1.479525909,3.290775966,4.035660406,3.920198235,"come,plate,mango pudding,food,Wait service,discount,menu,selection,portion,food,place,noodle,restaurant,lady,seller,know,tasting,location,miss,gamble,value,soup,food,staff,duck Peking combo,meat,quality,food,price,thing,service,everyone,food,joint,top,liar,people,choice,portion,value,option,stuffed,feast,night,duck,skin,sauce,version,pork,cucumber,soup,size,Course,chicken,Cruncy chicken,staff,cooky,jello,cake,fortune,cookies cooky,thing,food,n,lunch buffet","lemon,service,food,money,squid,order,happen,pork,taste,customer service,lemon,herb,thong,desert,tummy,soup,S&P squid",17,"You are doing good at Food,Service,Price while not so good at Ambience","You are doing good at Food,Service,Price while not so good at Ambience"
gRbbXVCy6P4C7qqJNJH9eA,Ginger Beef Peking House,"10816 MacLeod Trl SE, Suite 252",Calgary,AB,3.5,3.794910712,1.485893483,2.642398252,3.68071453,3.243352885,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Traditional Chinese,2.847977021,1.479525909,3.290775966,4.035660406,3.920198235,"restaurant,dish,chop,prawn,sheet,problem,smell,group,style dish,dish,plate,people,turnwheel,service,waiter,drink,feel,something,price,bill,son,pair,location,menu,package,duck,expect,table,server,flavor,restaurant,food,ginger beef,place,thing,ton,dish,ton soup,variety,soup,place,house,meal,quality,food,service,experience,place,food,restaurant,diet,food,price,recommend,delivery guy,food,meal,place,atmosphere,service,pork,food,trip,greatness,Ginger beef,year,beef beef,nothing,stuff,5,selection,beef,Chinese","flavor,carpet,friend,table,family style,experience,people,place,flavour,shit,recommend,inconvenience,appetizer,wife,chopstick,experince,service,item,mouth,nothing,lack,execution,food",24,"You are doing good at Food while not so good at Service,Ambience,Price","You are doing good at Food,Service while not so good at Ambience,Price"
3DXJ7lXJJKHPnydtX_1Mug,Fat Kee Noodle House,"3132 26 Street NE, Suite 345",Calgary,AB,3,3.017364029,1.693599232,3.602508095,4.493776028,3.773673963,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Asian Fusion,3.001603408,1.575305468,3.475673353,4.116206796,3.991034024,"eat,sign,lady,Peruvian,noodle,waitress,option,Ginger squid,sauce,variety,soup,right,noodle soup,style,side,bite,nothing,default,comfort,house,food,price,plate,have,service,gem,woman,food,kind,crunch,squid,ton,plate,service,memory,quality,wow,hesitation,top,ask,food,soup,rice,wonton soup,food,way,dish,which,people,service,noodle,shear,memory,pleasure,place,food,selection,edge,top,portion,chili,cheap,price,soup,ton soup,dose,choice,food,pork,rice,gem,chair,photo,dish,everything,vegetable dish,meal,food,gem,ole,food,restaurant,mood,work,Calgary thing,today,dish,sauce,pot,something,patron,dress,place,food,chicken,beef,amount,guy","plain,food,restaurant,chopstick,noodle soup,nightmare,chaos,light,melon,do,food,food,chicken,taste,bit,service,location,noodle,excuse,pain,hunger pain,trash,floor,food,card,waitress,cash,chinese,thing,school,helper,tea,jealousy,bite,lunch rush,mistake,lemon",24,"You are doing good at Food,Ambience,Price while not so good at Service",You are doing well in all aspects. Keep going!
hTxDm4gsHh01G4KFyQmhxQ,Grand Pearl Restaurant,594 64th Avenue NE,Calgary,AB,2.5,2.157112179,0.84691788,2.10735113,3.586092925,1.904875362,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Traditional Chinese,2.847977021,1.479525909,3.290775966,4.035660406,3.920198235,"food,sum,value,other,soup,gai almond ding,ton,entree,almond,beef,chunk,meal,food,pot,restaurant,bathroom,flooring,parking,chinese,bean,food,experience,soap,tea,chicken,portion,plate,piece,sauce,idiot,soup,size,combination,sweetness,sauce,saltiness,rice","service,service,owner,customer,complaint,argument,food,service,lack,ginger,lish,food,deeeeee lish,sum,service,food,fish smell,lose,hand dryer,lemon,disbelief,rice,soup soup,minute,stomach,sum,morning,make",12,You are not doing so well in any of the aspects!,You are not doing so well in any of the aspects!
cEqOh78v1g1RCWHyuHwQng,Buffet Yangtze,"Deerfoot Mall, 901 64 Avenue NE",Calgary,AB,3.5,2.558515972,1.253705059,3.322191939,2.795560399,2.825397047,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Asian Fusion,3.001603408,1.575305468,3.475673353,4.116206796,3.991034024,"buffet,food,service,refill,buffet,staff,restaurant,food,way,buffet,sum,vegetable,bar,sushi,salad bar,variety,egg tart,coworker,food,give,few,george,one,time,company,comment,work,selection,choice,year,meal,company,lay,manager,cow,liking,sweet,fruit,food,one,price,order,Ice cream,food,tray,staff,selection,staff,food,restaurant,buffet,dessert,variety,soup,item,Egg tart,tarts tart,staff,place,ceaser,thing,selection,seafood,buffet,buffet,option,selection,sum,breakfast option,crab,one,tart,look,quality,selection,dish,food quality,nothing,ingredient,cause,variety,love,buffet,floor,place,food,opening,value,staff,method,variety,way,service,washroom,price,perfect,roll,size,pork,salad,crab,pork rib,squid,roast,carver,convenience,treat,palette,cream selection,selections selection,place,selection,glass,skewer,shrimp items skewer,dessert items selection,selection,pastry,amount,pleasure,stone,food,selection,buffet,quality,price,location,way,politeness,time,part,bite,ginger beef,medium,chicken wing,meal,atmosphere,improvement,star,buffet,selection,service,array,cooking,barbeque pork,second,time,style,waitress,fishtank,place,variety,quality,place,buffet,variety,table,sweet,food,top,thing,someone,one,selection,food,washroom,service,regard,setting,option,variety,lot,rice,quality,interior,tablecloth,bathroom,mess,toilet paper","selection,complaint,dessert,station station,lunch break,anything,like,service,question,look,people,than,bar,fish tank,dumpling,sum,wing,roll,sum dumpling,pan,miss,food,everything,relative,money,distant,code violation,liquor,restaurant,egg,plate,star,sum,lunch buffet,dimsum,crap,sum,food,type,sum,food,stain,smell,sum,bit,stench,downside,chicken,meal,death,attempt,bf,distaste,floor,water,combination,mess,item,cream scoop,Fruit selection,lemon,orange,quality,buffet,like,someone,disappointment,feeling,issue,despair,daughter,food,restaurant,decline,week,fact,quality,selection,sum selection,sum,money,day,taste,bowl,price,day,server,that,floor,blind,hate,statement,price,Fruit selection,taste,decoration",36,You are not doing so well in any of the aspects!,You are not doing so well in any of the aspects!
jMEGdDfVSSubmFZhFnUfrg,Regency Palace,328 Centre Street  SE,Calgary,AB,3.5,2.868198188,1.131057239,3.457551105,4.551376424,3.617117537,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Traditional Chinese,2.847977021,1.479525909,3.290775966,4.035660406,3.920198235,"welcome,food,food,restaurant,fun,place,staff,bonus,griddle,item,shrimp,dumpling,tofu shrimp cake,cake,scallop,cheung fun,fun fun,tender,scallop scallop,seafood flavor,sauce,distribution,end,Year celebration,dinner,soup,broth,food,curd sauce,net,dessert,move,sauce,than,enthusiasm,patience,food,Hotpot,location,price,foe improvement,tasting,broth,food,everyone,redeem,work,thing,selection,supply,service,plate,value,service,Dim sum,taste,as,bonus,review,people,refund,thank,plate,service,attention,place,cart,thing,sum,place,buffet,tofu,food,quality,service,experience,place,pot,service,variety,room,skill,price,price fool,drumstick,chicken drumstick,drumsticks drumstick,note,contender,something,sum,family,place,item,do,venue,stage,Christmas party,dish,Peking duck,pot,selection,parking,plate,one,start,snap,addition,dish,Braised duck,duck duck,taro,portion,heaven,lobster,variation,chicken,bit,cup,pickerel,catfish,sauce,much,fish fillet,tilapia,jello,coconut,cooky,coconut jello,food,restaurant,buffet,pot,sum,choice,pot,experience,nothing,everything,quality,service,washroom,value,place,Regency,buddy,pot,food,mai,flavour,town,food,service,family,selection,food,service,sum,make,problem,time,service,dish,everyone,setting,crap,work,food,lover,variety,choice,course,cut,cake piece,seem,egg,fortune,place","sum,find,sum,trolley girl,smile alarm,kill,girls girl,alarms alarm,noise,sum,food,'cos parking,problem,trick,boil,win,sum,dish,rice,lack,hotpot,buffet,Room foe,Broth,meat,fish,shrimp dish,dish,stuff,fall,sum,problem,say,sum,price,sheet,table,dish,break,service,glass,water glass,waitress,boss,sum,sum,dish,sum,horde,server,food,selection,oil stain,review,sum,rice,novelty,service,parking dollar bill,glass,wine glass,platter,customer,rice,lobster,place,sum,experience,sum,sum,food,buffet-,taste,Buffet selection,server,like,food,palace,cart,service,waiter,job,restaurant,star,illusion,abt,item,packet,that",49,"You are doing good at Ambience,Price while not so good at Food,Service","You are doing good at Food,Ambience,Price while not so good at Service"
AEOTETRSzo5ubm4-Ud4PUg,Wok Box,106-288 Aspen Glen Landing SW,Calgary,AB,4,2.988746773,3.187984813,3.426462031,5,5,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Asian Fusion,3.001603408,1.575305468,3.475673353,4.116206796,3.991034024,"food,dude,restaurant,bonus,box,people,proof,owner,staff,juice box,smile,cooky,fortune,Super family,family family,food,food,staff,mile,food,service,everything,shrimp,bang,bang shrimp,service,food,quantity,staff,quantity,taste,recommend,doubt,staff,dish,food,marketting,place,fix,experience,food,service,staff,stirfry,joint,establishment,restaurant,everything,quality,improvement,food,variety,veggie,sized,condiment,garnish,portion option,option,place,owner,staff,box,Box,choice,staff,food,price,Thai,leave,sense,humor,food,out,box,place,lot,veggie,staff,pain,staff,restaurant,meal,food,staff,place,beef,broccoli,staff,service,kids menu,food,menu,menu menu,rice,box,rice box,bang Bang shrimp,food,time","brand,filth,spring roll,order,night,curry,lemon,bowl,food,fry,bowl,mess,type,cry,dump,restriction,food,thing,lack,smell,illness",22,"You are doing good at Service,Price while not so good at Food,Ambience","You are doing good at Service,Price while not so good at Food,Ambience"
vflFNEBMH1GSSjvZx3ItdA,U & Me Restaurant,233 Centre Street SW,Calgary,AB,3.5,1.082701316,1.048291651,3.062703939,4.459048684,3.81209759,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Traditional Chinese,2.847977021,1.479525909,3.290775966,4.035660406,3.920198235,"food,rice,thing,food,visit,gao,access,heaven,place,dish,menu,restaurant,top,view,sum,everything,ginger beef,shrimp,night,night,s,lot,surprise,bun,goodness,value,bite,fun,everything,place,food,server,sit,restaurant,waitress,gang,food,gang member,welcome,app,review,standout,everything,which,meal,food,tofu,tea,time,cook work,experience,dish,goodness,downtown,advantage,recommend,bean sauce,everything,company,waste,food,ginger beef,inn,meal,reason,atmosphere,limit,sum,time,service,meat,flavor,place,food,portion,food,service,place,fish congee,soup dumpling,service,atmosphere,place,food,Service,place,option,minute,drag,money,version,korean,restaurant,fact,menu,item,way,place,congee,work,experience,food,sum,food,everyone,host,flavor,variety,rice,do,dish,medium,place,review,delicacy,night,quality,state,love,sum,people,soup,people chicken,soup,place,love,three,job,do,night,service,restaurant service,bank,place,service,food,amount,like,day,place,love,anyone,policy,honesty,lie,love,food,brother,mother,place,place,skill,staff,guidance,except,place,food,pork,love,option,price,dimsum,custard bun,place,food,service,pot,food,restaurant,food,price,portion,dim sum,everything,favorite,service,oil,option,food,word,plate,place,food,dish,pork dumpling,dumplings dumpling,good,food,service","place,service,order,addict,sum addict,sum,entrance,turnip,beef,spinach,pan,item,fault,sum,cake,order,root taro cake,pan,rice,thing,shrimp,eggplant,reservation,problem,sum,thing,side note,tea,service,everything,bank,talk,face*.,water,rice,sum,sum,reviewer,radish,sum,flavour,food,sum,beef,jerky,beef jerky,bit,sum,tone,dish,as,quality,one,sum,rice,service,menu,sum,daytime,lack,cart,waitstaff,dish,day,attitude,rest,food,sum,wonder,mediocrity,giveaway,night,appetite,sum,say,citizen,link,manner,food,bite,sum,sum,noodle,other,service,sum,sum,people,people,people stampede,food,what,miss,go,sum,line,food,hits hit,hour,sum,translation,tongue,Chicken foot,thing,fat,option,service,plate,time,anger,waitress,total,service,place,plate,sum,server,service,bit,thing,sum sum,sum,sum,loss,sum,restaurant,smack,sum,vengeance,complaint,headache",70,"You are doing good at Price while not so good at Food,Service,Ambience","You are doing good at Price while not so good at Food,Service,Ambience"
iAO50G98koWj0dflTzbs2g,Imperial Dynasty Restaurant,500 Country Hills Blvd NE,Calgary,AB,3.5,3.659170164,2.234660216,3.853841325,4.597207887,3.859733819,City,2.99120784,1.709819129,3.448558976,4.117187918,3.99583324,Traditional Chinese,2.847977021,1.479525909,3.290775966,4.035660406,3.920198235,"wish,bread,skill,buffet,soup,buffet spring,spring,rolls roll,spring roll,buffet,food,buffet area,waitress,waiter,place,cooky,fortune,soup,reason,service,size,food,price,convenience,star,food variety,love,place,food,sauce,nothing,everything,thing,top,one,buffet,find,recommendation,place,soup,ton,spring roll,roll,soup soup,seller,chicken,which,everything,professional,order,buffet,cooking,cuisine,selection,variety,everything,quality,food,soup,ton,service,food,People,owner,bar,item,service,ambient,food,price,recommend,food,buffet,food,price,food,quality,bad,vegetable,rice,place,restaurant,variety,selection,tray,store,go,riddance","buffet skill,soup soup,buffet selection,variety,shit,star,shanghai noodle,noodle,recommend,end,feel,place,trouble,ton soup,pineapple,that,drain,cold,dessert selection,selection selection",18,You are doing well in all aspects. Keep going!,You are doing well in all aspects. Keep going!
