business_id,name,address,city,state,stars
QXAEGFB4oINsVuTFxEYKFQ,Emerald Chinese Restaurant,30 Eglinton Avenue W,Mississauga,ON,2.5
iyPtSR0s6EkvaQFbdJ_jVA,Pearl King,291 King Street W,Toronto,ON,2.5
QZ4GFIArBMGolsVi0XHgcA,Golden Flower Cafe,"1 Spadina Road, Suite 11",Richmond Hill,ON,3.5
j9YFHVQqxM_qKHIc4nck-A,Wong's Asian Cuisine,2173 Lawrence Avenue  E,Scarborough,ON,4
oWEFIvvt_kJCuk2V268XeQ,Summit Garden Chinese,3015 Winston Churchill Boulevard,Mississauga,ON,3
dvbcUnKv2awsIxog7dO4vw,Hong Kong Bistro Cafe,472 Dundas Street W,Toronto,ON,4
PMsqD6wHCfxdrZkGXIepvA,Mandarin Restaurant - Queensway,1255 The Queensway,Etobicoke,ON,3.5
Q62lGVKqoKJ09lZNt2qpfw,Lucky Chinese Restaurant,2650 Lawrence Avenue E,Scarborough,ON,4
tEfvf1cznLZUIeTcKKpAIw,KooKoo Chicken,"River Run Shopping Centre, 1525 Bristol Road W, Unit 10",Mississauga,ON,3.5
l1DtLtgI2hlGNMBSkk5sXg,Shanghai Palace Restaurant,"5149 Country Hills Boulevard NW, Unit 520",Calgary,AB,3
yWwIUmeenyAO7nwc7U0U5A,Niwan Rolls King,"3260 Midland Avenue, Unit F101 & 102",Toronto,ON,3
xNK43KL8NRnoN9azyyrJ6A,Tangerine Asian Cuisine,6415 Erin Mills Parkway,Mississauga,ON,3.5
yDJhScdD8cCCYfO4WNb-CQ,C'est Bon,2685 Yonge St,Toronto,ON,3
XYIPXJ9parr9FtvvcGI1SA,GB Hand-pulled Noodles,66 Edward Street,Toronto,ON,4
6sATfFam9_q9uod0I2aCsg,Wu Tai Vegetarian Restaurant,8425 Woodbine Avenue,Markham,ON,3.5
5bDLpVi7ju83v2Yoeq_0Rw,Tuina Toronto,116 Dundas Street W,Toronto,ON,4
0lUhcajLmtq3H4h9xiiabQ,M.Gao,1550 Boulevard de Maisonneuve O,Montréal,QC,3.5
ojXlVfeYKBisI6EJ0UizAA,Canton Chang Fen,3255 Highway 7 E,Markham,ON,3.5
KbjdEA6SRrjrwiFBtsD93g,Foodie Boy,"4300 Steeles Avenue E, Suite F28F",Markham,ON,3.5
uiShreF9oKvzuqxWWxECAw,Gou Bu Li,"280 W Beaver Creek Rd, Unit 35",Richmond Hill,ON,3
gRbbXVCy6P4C7qqJNJH9eA,Ginger Beef Peking House,"10816 MacLeod Trl SE, Suite 252",Calgary,AB,3.5
pvo-RRtvw1zBAHRzr8669w,Dumpling Buffet,3320 Midland Avenue,Toronto,ON,3
ZL9sk7Imc42BNRhcjgnqPw,Restaurant PM,1809 Rue Saint-Catherine Ouest,Montréal,QC,3.5
3fw2X5bZYeW9xCz_zGhOHg,Tracy Dessert,"3235 Highway 7 E, Unit 29",Markham,ON,3.5
XGX5LW0s-OpjmOpVXXYshg,Asian Legend,"3636 Steeles Ave E, Unit 152",Markham,ON,2.5
rDTCvOrVYN9USxyB-fNHyw,Fu Lam,7165 Boulevard Newman,Montréal,QC,2.5
5H4coiGpvG3XdnU1Nde2xQ,Keung's Restaurant,8380 Kennedy Road,Markham,ON,3
yDVedcyujtCPyuJdPp-ZGw,Seoul House,180 Steeles Avenue W,Thornhill,ON,3
qxdZWoRVwf4lpI_gjAN2gA,Le Bol d'or / Golden Bowl,1200 Boulevard Rome,Brossard,QC,2.5
cjatara6LkXRu2BXD_jxlA,Chat Bar,633 Silver Star Boulevard,Toronto,ON,3.5
TTLDDEeUyOkM4JEsGkIYmw,Szechuan Express,"100 City Centre Drive, Square One Food Court",Mississauga,ON,4
3DXJ7lXJJKHPnydtX_1Mug,Fat Kee Noodle House,"3132 26 Street NE, Suite 345",Calgary,AB,3
YkAIlxYZ1guSqbbowU9X4g,Luckee,328 Wellington Street W,Toronto,ON,3.5
6Bmq3b91hqTwMFn5cpPWzQ,Wonton Time,"4392 Steeles Ave E, Market Village",Markham,ON,4
j1QfFrTE22PAak7rzD8OoQ,Sweet Culture,8392 Kennedy Road,Markham,ON,3.5
hRbUkwU9awUan32CD-mdHA,Golden Court Abalone Restaurant,"Jubilee Square, 270 West Beaver Creek Road",Richmond Hill,ON,3
q4QuS-MaVSXbIFkUZlxZ9g,Win's Seafood Restaurant,"50 Lockridge Ave, Unit 1",Markham,ON,3
uFNM9ICvZN0TEbURIpiIDQ,Chinese Dumplings,645 St. Clair Avenue W,Toronto,ON,3.5
