business_id,food.pos,food.neg,service.pos,service.neg,ambience.pos,ambience.neg,price.pos,price.neg,misc.pos,misc.neg,review counts,star,fp,fn,sp,sn,ap,an,pp,pn,mp,mn
_5XClj4E5VCIsEscbrrPKg,59.5,-16.5,47,-24,20.5,-1,1,-7,5.5,-3,22,4,2.704545455,-0.75,2.136363636,-1.090909091,0.931818182,-0.045454545,0.045454545,-0.318181818,0.25,-0.136363636
_AiqOS8io_reYZri1OeP1g,72,-13.5,25,-12,14.75,0,6,-1,12.5,0,19,4,3.789473684,-0.710526316,1.315789474,-0.631578947,0.776315789,0,0.315789474,-0.052631579,0.657894737,0
_fe36eepp9tsP5vzvKbdQA,39.75,-9,24,-6.75,9,-4,4.5,-3.5,5.5,-2.5,15,3.5,2.65,-0.6,1.6,-0.45,0.6,-0.266666667,0.3,-0.233333333,0.366666667,-0.166666667
_GwVhLhVF_NkEjdcY0TZ8w,47.5,-19,48.5,-17.5,11.75,-6,3.5,-4.5,4.5,-3,21,3,2.261904762,-0.904761905,2.30952381,-0.833333333,0.55952381,-0.285714286,0.166666667,-0.214285714,0.214285714,-0.142857143
_HePiPCk9tmgezshWwZGOw,40.75,-24,35,-14.5,19.75,-4,4,-1,23.5,-1,23,4,1.77173913,-1.043478261,1.52173913,-0.630434783,0.858695652,-0.173913043,0.173913043,-0.043478261,1.02173913,-0.043478261
_MbwP_b3c5ZOCvCRArsyqw,18,-8,30.25,-9.5,6,-2,2,0,4.5,-2,14,2.5,1.285714286,-0.571428571,2.160714286,-0.678571429,0.428571429,-0.142857143,0.142857143,0,0.321428571,-0.142857143
_mkObKf2FTg4pRcCFZBf4w,51,-51.5,29.5,-30.5,12,-15,3,-7,2,-3,21,1.5,2.428571429,-2.452380952,1.404761905,-1.452380952,0.571428571,-0.714285714,0.142857143,-0.333333333,0.095238095,-0.142857143
_oL8XX8dusHBNYQyDhF4fA,11.25,-1,18.5,-0.5,4,-1,3,0,3,0,11,4.5,1.022727273,-0.090909091,1.681818182,-0.045454545,0.363636364,-0.090909091,0.272727273,0,0.272727273,0
_ONkRPvpIYdCuj9u6cIPeA,137.25,-152.75,128.625,-113.5,39.75,-39,47.5,-21.5,16.5,-9.5,60,3,2.2875,-2.545833333,2.14375,-1.891666667,0.6625,-0.65,0.791666667,-0.358333333,0.275,-0.158333333
_PKXarw3GjlbwbXhjdpUMA,66.5,-14,51,-21,9.25,-7,13,-0.75,7,-3,29,3.5,2.293103448,-0.482758621,1.75862069,-0.724137931,0.318965517,-0.24137931,0.448275862,-0.025862069,0.24137931,-0.103448276
